gestion,codigo_departamento,area,edad,sexo,lugar_trabajo,observaciones,numerador,denominador,valor,cv
2025,1,urbana,18,mujer,quiosco_o_puesto_fijo,13,231.0394417200679,1789.257921451643,12.912584538545637,0.9072110641080036
2025,1,urbana,18,mujer,vehiculo,13,0.0,1789.257921451643,0.0,
2025,1,urbana,18,mujer,vivienda_particular,13,125.82741127497773,1789.257921451643,7.03237972381828,0.9846725940637914
2025,1,urbana,19,hombre,ambulante,18,0.0,2393.4663326097243,0.0,
2025,1,urbana,19,hombre,ambulante_de_preventa,18,0.0,2393.4663326097243,0.0,
2025,1,urbana,19,hombre,domicilio_del_cliente,18,0.0,2393.4663326097243,0.0,
2025,1,urbana,19,hombre,local_de_empresa_o_cliente,18,775.163680540588,2393.4663326097243,32.38665486868936,0.3661581823475901
2025,1,urbana,19,hombre,local_o_terreno_propio,18,627.0916135069747,2393.4663326097243,26.200143489096966,0.4312424907400317
2025,1,urbana,19,hombre,otro_lugar,18,0.0,2393.4663326097243,0.0,
2025,1,urbana,19,hombre,predio_agropecuario_o_natural,18,372.63077787388227,2393.4663326097243,15.568665946831306,0.6398200925477218
2025,1,urbana,19,hombre,puesto_movil,18,0.0,2393.4663326097243,0.0,
2025,1,urbana,19,hombre,quiosco_o_puesto_fijo,18,0.0,2393.4663326097243,0.0,
2025,1,urbana,19,hombre,vehiculo,18,546.8105940315286,2393.4663326097243,22.84596973776154,0.46777646639604836
2025,1,urbana,19,hombre,vivienda_particular,18,71.76966665675073,2393.4663326097243,2.998565957620821,1.0061285649460612
2025,1,urbana,19,mujer,ambulante,13,118.0902005232415,1777.104599175461,6.645090028917424,0.9828210016577764
2025,1,urbana,19,mujer,ambulante_de_preventa,13,0.0,1777.104599175461,0.0,
2025,1,urbana,19,mujer,domicilio_del_cliente,13,0.0,1777.104599175461,0.0,
2025,1,urbana,19,mujer,local_de_empresa_o_cliente,13,1364.2112937597085,1777.104599175461,76.76595369752988,0.14546490388828362
2025,1,urbana,19,mujer,local_o_terreno_propio,13,0.0,1777.104599175461,0.0,
2025,1,urbana,19,mujer,otro_lugar,13,0.0,1777.104599175461,0.0,
2025,1,urbana,19,mujer,predio_agropecuario_o_natural,13,0.0,1777.104599175461,0.0,
2025,1,urbana,19,mujer,puesto_movil,13,294.80310489251127,1777.104599175461,16.588956273552704,0.5729965279726189
2025,1,urbana,19,mujer,quiosco_o_puesto_fijo,13,0.0,1777.104599175461,0.0,
2025,1,urbana,19,mujer,vehiculo,13,0.0,1777.104599175461,0.0,
2025,1,urbana,19,mujer,vivienda_particular,13,0.0,1777.104599175461,0.0,
2025,1,urbana,20,hombre,ambulante,17,0.0,2126.811451272358,0.0,
2025,1,urbana,20,hombre,ambulante_de_preventa,17,0.0,2126.811451272358,0.0,
2025,1,urbana,20,hombre,domicilio_del_cliente,17,686.6934080559596,2126.811451272358,32.28746053841056,0.42272462282176293
2025,1,urbana,20,hombre,local_de_empresa_o_cliente,17,1056.9066150044334,2126.811451272358,49.694419990645734,0.26846129057615903
2025,1,urbana,20,hombre,local_o_terreno_propio,17,196.2160060678254,2126.811451272358,9.225829866133163,0.7174160996621741
2025,1,urbana,20,hombre,otro_lugar,17,0.0,2126.811451272358,0.0,
2025,1,urbana,20,hombre,predio_agropecuario_o_natural,17,96.9662371959212,2126.811451272358,4.559230539120496,1.0030364682300263
2025,1,urbana,20,hombre,puesto_movil,17,0.0,2126.811451272358,0.0,
2025,1,urbana,20,hombre,quiosco_o_puesto_fijo,17,90.02918494821873,2126.811451272358,4.233059065690052,1.0023889597725093
2025,1,urbana,20,hombre,vehiculo,17,0.0,2126.811451272358,0.0,
2025,1,urbana,20,hombre,vivienda_particular,17,0.0,2126.811451272358,0.0,
2025,1,urbana,20,mujer,ambulante,12,0.0,1413.876680799808,0.0,
2025,1,urbana,20,mujer,ambulante_de_preventa,12,109.36686031955497,1413.876680799808,7.735247479835926,0.9774209653831465
2025,1,urbana,20,mujer,domicilio_del_cliente,12,0.0,1413.876680799808,0.0,
2025,1,urbana,20,mujer,local_de_empresa_o_cliente,12,736.6864968312052,1413.876680799808,52.10401351371557,0.34410139964949754
2025,1,urbana,20,mujer,local_o_terreno_propio,12,0.0,1413.876680799808,0.0,
2025,1,urbana,20,mujer,otro_lugar,12,0.0,1413.876680799808,0.0,
2025,1,urbana,20,mujer,predio_agropecuario_o_natural,12,0.0,1413.876680799808,0.0,
2025,1,urbana,20,mujer,puesto_movil,12,0.0,1413.876680799808,0.0,
2025,1,urbana,20,mujer,quiosco_o_puesto_fijo,12,411.21887363210857,1413.876680799808,29.0844936631594,0.3974815684503904
2025,1,urbana,20,mujer,vehiculo,12,156.60445001693913,1413.876680799808,11.076245343289095,0.841751854113899
2025,1,urbana,20,mujer,vivienda_particular,12,0.0,1413.876680799808,0.0,
2025,1,urbana,21,hombre,ambulante,10,0.0,1152.6379525018835,0.0,
2025,1,urbana,21,hombre,ambulante_de_preventa,10,0.0,1152.6379525018835,0.0,
2025,1,urbana,21,hombre,domicilio_del_cliente,10,85.90328810570342,1152.6379525018835,7.452755474452681,0.9999248427551805
2025,1,urbana,21,hombre,local_de_empresa_o_cliente,10,371.8469384159438,1152.6379525018835,32.26051490052217,0.4889893574426444
2025,1,urbana,21,hombre,local_o_terreno_propio,10,285.50457888350115,1152.6379525018835,24.769666681874646,0.6184426149818508
2025,1,urbana,21,hombre,otro_lugar,10,0.0,1152.6379525018835,0.0,
2025,1,urbana,21,hombre,predio_agropecuario_o_natural,10,0.0,1152.6379525018835,0.0,
2025,1,urbana,21,hombre,puesto_movil,10,0.0,1152.6379525018835,0.0,
2025,1,urbana,21,hombre,quiosco_o_puesto_fijo,10,109.71053553488748,1152.6379525018835,9.518213008408484,0.8609904297563978
2025,1,urbana,21,hombre,vehiculo,10,299.6726115618477,1152.6379525018835,25.99884993474202,0.4792832293112252
2025,1,urbana,21,hombre,vivienda_particular,10,0.0,1152.6379525018835,0.0,
2025,1,urbana,21,mujer,ambulante,13,0.0,1665.9802560762432,0.0,
2025,1,urbana,21,mujer,ambulante_de_preventa,13,0.0,1665.9802560762432,0.0,
2025,1,urbana,21,mujer,domicilio_del_cliente,13,391.1879328001963,1665.9802560762432,23.480946510226445,0.5535445079155686
2025,1,urbana,21,mujer,local_de_empresa_o_cliente,13,358.47935209017356,1665.9802560762432,21.517623080028137,0.5906748941337989
