gestion,codigo_municipio,area,edad,sexo,valor
2024,10401,urbana,19,hombre,29
2024,10401,urbana,19,mujer,37
2024,10401,urbana,20,hombre,28
2024,10401,urbana,20,mujer,57
2024,10401,urbana,21,hombre,30
2024,10401,urbana,21,mujer,44
2024,10401,urbana,22,hombre,43
2024,10401,urbana,22,mujer,35
2024,10401,urbana,23,hombre,45
2024,10401,urbana,23,mujer,38
2024,10401,urbana,24,hombre,38
2024,10401,urbana,24,mujer,36
2024,10401,urbana,25,hombre,33
2024,10401,urbana,25,mujer,38
2024,10401,urbana,26,hombre,33
2024,10401,urbana,26,mujer,31
2024,10401,urbana,27,hombre,27
2024,10401,urbana,27,mujer,28
2024,10401,urbana,28,hombre,33
2024,10401,urbana,28,mujer,35
2024,10402,rural,16,hombre,47
2024,10402,rural,16,mujer,63
2024,10402,rural,17,hombre,77
2024,10402,rural,17,mujer,71
2024,10402,rural,18,hombre,72
2024,10402,rural,18,mujer,56
2024,10402,rural,19,hombre,67
2024,10402,rural,19,mujer,45
2024,10402,rural,20,hombre,51
2024,10402,rural,20,mujer,46
2024,10402,rural,21,hombre,66
2024,10402,rural,21,mujer,65
2024,10402,rural,22,hombre,49
2024,10402,rural,22,mujer,60
2024,10402,rural,23,hombre,66
2024,10402,rural,23,mujer,71
2024,10402,rural,24,hombre,65
2024,10402,rural,24,mujer,72
2024,10402,rural,25,hombre,56
2024,10402,rural,25,mujer,48
2024,10402,rural,26,hombre,64
2024,10402,rural,26,mujer,66
2024,10402,rural,27,hombre,53
2024,10402,rural,27,mujer,51
2024,10402,rural,28,hombre,47
2024,10402,rural,28,mujer,50
2024,10402,urbana,16,hombre,14
2024,10402,urbana,16,mujer,26
2024,10402,urbana,17,hombre,21
2024,10402,urbana,17,mujer,21
2024,10402,urbana,18,hombre,20
2024,10402,urbana,18,mujer,14
2024,10402,urbana,19,hombre,18
2024,10402,urbana,19,mujer,13
2024,10402,urbana,20,hombre,14
2024,10402,urbana,20,mujer,18
2024,10402,urbana,21,hombre,13
2024,10402,urbana,21,mujer,15
2024,10402,urbana,22,hombre,19
2024,10402,urbana,22,mujer,24
2024,10402,urbana,23,hombre,18
2024,10402,urbana,23,mujer,18
2024,10402,urbana,24,hombre,25
2024,10402,urbana,24,mujer,15
2024,10402,urbana,25,hombre,21
2024,10402,urbana,25,mujer,17
2024,10402,urbana,26,hombre,13
2024,10402,urbana,26,mujer,18
2024,10402,urbana,27,hombre,30
2024,10402,urbana,27,mujer,27
2024,10402,urbana,28,hombre,17
2024,10402,urbana,28,mujer,18
2024,10403,rural,16,hombre,63
2024,10403,rural,16,mujer,65
2024,10403,rural,17,hombre,78
2024,10403,rural,17,mujer,72
2024,10403,rural,18,hombre,78
2024,10403,rural,18,mujer,57
2024,10403,rural,19,hombre,62
2024,10403,rural,19,mujer,63
2024,10403,rural,20,hombre,59
2024,10403,rural,20,mujer,50
2024,10403,rural,21,hombre,48
2024,10403,rural,21,mujer,57
2024,10403,rural,22,hombre,79
2024,10403,rural,22,mujer,55
2024,10403,rural,23,hombre,69
2024,10403,rural,23,mujer,54
2024,10403,rural,24,hombre,62
2024,10403,rural,24,mujer,71
2024,10403,rural,25,hombre,50
2024,10403,rural,25,mujer,66
2024,10403,rural,26,hombre,63
2024,10403,rural,26,mujer,57
2024,10403,rural,27,hombre,50
2024,10403,rural,27,mujer,52
2024,10403,rural,28,hombre,63
2024,10403,rural,28,mujer,46
2024,10404,rural,16,hombre,27
2024,10404,rural,16,mujer,30
2024,10404,rural,17,hombre,33
2024,10404,rural,17,mujer,22
2024,10404,rural,18,hombre,31
2024,10404,rural,18,mujer,21
2024,10404,rural,19,hombre,26
2024,10404,rural,19,mujer,22
2024,10404,rural,20,hombre,22
2024,10404,rural,20,mujer,22
2024,10404,rural,21,hombre,29
2024,10404,rural,21,mujer,29
2024,10404,rural,22,hombre,45
2024,10404,rural,22,mujer,29
2024,10404,rural,23,hombre,33
2024,10404,rural,23,mujer,37
2024,10404,rural,24,hombre,33
2024,10404,rural,24,mujer,39
2024,10404,rural,25,hombre,37
2024,10404,rural,25,mujer,31
2024,10404,rural,26,hombre,25
2024,10404,rural,26,mujer,36
2024,10404,rural,27,hombre,32
2024,10404,rural,27,mujer,33
2024,10404,rural,28,hombre,38
2024,10404,rural,28,mujer,25
2024,10405,rural,16,hombre,46
2024,10405,rural,16,mujer,42
2024,10405,rural,17,hombre,40
2024,10405,rural,17,mujer,46
2024,10405,rural,18,hombre,49
2024,10405,rural,18,mujer,45
2024,10405,rural,19,hombre,41
2024,10405,rural,19,mujer,43
2024,10405,rural,20,hombre,30
2024,10405,rural,20,mujer,34
2024,10405,rural,21,hombre,57
2024,10405,rural,21,mujer,50
2024,10405,rural,22,hombre,50
2024,10405,rural,22,mujer,44
2024,10405,rural,23,hombre,64
2024,10405,rural,23,mujer,46
2024,10405,rural,24,hombre,51
2024,10405,rural,24,mujer,53
2024,10405,rural,25,hombre,58
2024,10405,rural,25,mujer,59
2024,10405,rural,26,hombre,52
2024,10405,rural,26,mujer,66
2024,10405,rural,27,hombre,49
2024,10405,rural,27,mujer,53
2024,10405,rural,28,hombre,53
2024,10405,rural,28,mujer,58
